Variável,Q1,Q3,IQR,Limite inferior IQR,Limite superior IQR,Valores abaixo do limite,Valores acima do limite,Total de potenciais outliers
WBC,6.0,8.68,2.6799999999999997,1.9800000000000004,12.7,1,89,90
LYMp,25.845,25.845,0.0,25.845,25.845,263,237,500
NEUTp,71.1,77.511,6.411000000000001,61.48349999999999,87.1275,153,2,155
LYMn,1.88076,1.88076,0.0,1.88076,1.88076,307,193,500
NEUTn,5.1,5.14094,0.040939999999999976,5.038589999999999,5.202349999999999,318,167,485
RBC,4.19,5.1,0.9099999999999993,2.8250000000000015,6.464999999999998,22,10,32
HGB,10.8,13.5,2.6999999999999993,6.750000000000002,17.549999999999997,21,5,26
HCT,39.2,46.1526,6.952599999999997,28.771100000000008,56.58149999999999,43,4,47
MCV,81.2,90.2,9.0,67.7,103.7,49,16,65
MCH,25.5,29.6,4.100000000000001,19.349999999999998,35.75,44,21,65
MCHC,30.6,32.9,2.299999999999997,27.150000000000006,36.349999999999994,28,33,61
PLT,157.0,293.0,136.0,-47.0,497.0,0,8,8
PDW,13.3,14.7,1.3999999999999986,11.200000000000003,16.799999999999997,57,99,156
PCT,0.17,0.26028,0.09028,0.03458000000000003,0.3957,3,7,10
