Variável,count,mean,std,min,25%,50%,75%,max
WBC,1281.0,7.86271662763466,3.5644657236981,0.8,6.0,7.4,8.68,45.7
LYMp,1281.0,25.844999999999995,7.03872755168681,6.2,25.845,25.845,25.845,91.4
NEUTp,1281.0,77.511,147.7462730322558,0.7,71.1,77.511,77.511,5317.0
LYMn,1281.0,1.88076,1.3356889933195526,0.2,1.88076,1.88076,1.88076,41.8
NEUTn,1281.0,5.14094,2.872293679791248,0.5,5.1,5.14094,5.14094,79.0
RBC,1281.0,4.708266978922716,2.8172003989850576,1.36,4.19,4.6,5.1,90.8
HGB,1281.0,12.184551131928181,3.812897189033727,-10.0,10.8,12.3,13.5,87.1
HCT,1281.0,46.1526,104.88610000339358,2.0,39.2,46.1526,46.1526,3715.0
MCV,1281.0,85.79391881342701,27.177663383275863,-79.3,81.2,86.6,90.2,990.0
MCH,1281.0,32.084839968774396,111.17075617529844,10.9,25.5,27.8,29.6,3117.0
MCHC,1281.0,31.739149102263863,3.300351990285641,11.5,30.6,32.0,32.9,92.8
PLT,1281.0,229.98142076502728,93.01933568238567,10.0,157.0,213.0,293.0,660.0
PDW,1281.0,14.312511572747852,3.005078624424339,8.4,13.3,14.31251157,14.7,97.0
PCT,1281.0,0.26028,0.6853505950424206,0.01,0.17,0.26028,0.26028,13.6
