Variável,Mínimo observado,Máximo observado,Limite mínimo adotado,Limite máximo adotado,Abaixo do limite,Acima do limite,Total suspeito
WBC,0.8,45.7,0.1,100,0,0,0
LYMp,6.2,91.4,0.0,100,0,0,0
NEUTp,0.7,5317.0,0.0,100,0,2,2
LYMn,0.2,41.8,0.0,100,0,0,0
NEUTn,0.5,79.0,0.0,100,0,0,0
RBC,1.36,90.8,0.1,10,0,5,5
HGB,-10.0,87.1,0.0,25,1,4,5
HCT,2.0,3715.0,0.0,75,0,4,4
MCV,-79.3,990.0,40.0,150,5,1,6
MCH,10.9,3117.0,5.0,60,0,7,7
MCHC,11.5,92.8,10.0,60,0,4,4
PLT,10.0,660.0,1.0,1000,0,0,0
PDW,8.4,97.0,0.0,50,0,1,1
PCT,0.01,13.6,0.0,2,0,4,4
