,precision,recall,f1-score,support
Healthy,0.9791666666666666,0.7230769230769231,0.831858407079646,65.0
Iron deficiency anemia,0.8888888888888888,0.8648648648648649,0.8767123287671232,37.0
Leukemia,0.7,0.7777777777777778,0.7368421052631579,9.0
Leukemia with thrombocytopenia,0.6666666666666666,1.0,0.8,2.0
Macrocytic anemia,0.25,0.3333333333333333,0.2857142857142857,3.0
Normocytic hypochromic anemia,0.6590909090909091,0.5370370370370371,0.5918367346938775,54.0
Normocytic normochromic anemia,0.5466666666666666,0.803921568627451,0.6507936507936508,51.0
Other microcytic anemia,0.45454545454545453,0.45454545454545453,0.45454545454545453,11.0
Thrombocytopenia,0.625,0.6666666666666666,0.6451612903225806,15.0
accuracy,0.7044534412955465,0.7044534412955465,0.7044534412955465,0.7044534412955465
macro avg,0.6411139169472503,0.6845804028810565,0.6526071396866419,247.0
weighted avg,0.7399350795403427,0.7044534412955465,0.7102224844042757,247.0
