,precision,recall,f1-score,support
Healthy,0.9354838709677419,0.8923076923076924,0.9133858267716536,65.0
Iron deficiency anemia,0.8378378378378378,0.8378378378378378,0.8378378378378378,37.0
Leukemia,0.7142857142857143,0.5555555555555556,0.625,9.0
Leukemia with thrombocytopenia,0.5,0.5,0.5,2.0
Macrocytic anemia,0.42857142857142855,1.0,0.6,3.0
Normocytic hypochromic anemia,0.7894736842105263,0.8333333333333334,0.8108108108108109,54.0
Normocytic normochromic anemia,0.8888888888888888,0.7843137254901961,0.8333333333333334,51.0
Other microcytic anemia,0.5384615384615384,0.6363636363636364,0.5833333333333334,11.0
Thrombocytopenia,0.6470588235294118,0.7333333333333333,0.6875,15.0
accuracy,0.8137651821862348,0.8137651821862348,0.8137651821862348,0.8137651821862348
macro avg,0.6977846429725654,0.7525605682468428,0.7101334602318854,247.0
weighted avg,0.8263749347526672,0.8137651821862348,0.8170365554275625,247.0
