,precision,recall,f1-score,support
Healthy,1.0,0.9846153846153847,0.9922480620155039,65.0
Iron deficiency anemia,0.9487179487179487,1.0,0.9736842105263158,37.0
Leukemia,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Leukemia with thrombocytopenia,1.0,0.5,0.6666666666666666,2.0
Macrocytic anemia,0.5,0.6666666666666666,0.5714285714285714,3.0
Normocytic hypochromic anemia,0.9636363636363636,0.9814814814814815,0.9724770642201835,54.0
Normocytic normochromic anemia,0.9803921568627451,0.9803921568627451,0.9803921568627451,51.0
Other microcytic anemia,1.0,0.8181818181818182,0.9,11.0
Thrombocytopenia,1.0,1.0,1.0,15.0
accuracy,0.9676113360323887,0.9676113360323887,0.9676113360323887,0.9676113360323887
macro avg,0.9201817064562162,0.8689140440774428,0.8828650689565417,247.0
weighted avg,0.9701980880118533,0.9676113360323887,0.9675458313197992,247.0
