,precision,recall,f1-score,support
Healthy,0.9552238805970149,0.9846153846153847,0.9696969696969697,65.0
Iron deficiency anemia,0.9473684210526315,0.972972972972973,0.96,37.0
Leukemia,1.0,0.6666666666666666,0.8,9.0
Leukemia with thrombocytopenia,0.0,0.0,0.0,2.0
Macrocytic anemia,0.5,0.6666666666666666,0.5714285714285714,3.0
Normocytic hypochromic anemia,0.9272727272727272,0.9444444444444444,0.9357798165137615,54.0
Normocytic normochromic anemia,0.8909090909090909,0.9607843137254902,0.9245283018867925,51.0
Other microcytic anemia,0.875,0.6363636363636364,0.7368421052631579,11.0
Thrombocytopenia,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
accuracy,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
macro avg,0.7804828387114325,0.7443534169024366,0.7549808321030204,247.0
weighted avg,0.9178333852445978,0.9230769230769231,0.9178185475810606,247.0
