,precision,recall,f1-score,support
Healthy,1.0,0.9846153846153847,0.9922480620155039,65.0
Iron deficiency anemia,1.0,0.972972972972973,0.9863013698630136,37.0
Leukemia,0.8,0.8888888888888888,0.8421052631578947,9.0
Leukemia with thrombocytopenia,1.0,0.5,0.6666666666666666,2.0
Macrocytic anemia,0.5,0.6666666666666666,0.5714285714285714,3.0
Normocytic hypochromic anemia,0.9818181818181818,1.0,0.9908256880733946,54.0
Normocytic normochromic anemia,1.0,1.0,1.0,51.0
Other microcytic anemia,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Thrombocytopenia,1.0,1.0,1.0,15.0
accuracy,0.9757085020242915,0.9757085020242915,0.9757085020242915,0.9757085020242915
macro avg,0.9101010101010102,0.8802483135816469,0.8842962811439948,247.0
weighted avg,0.9786161207213839,0.9757085020242915,0.9761960659430877,247.0
