,precision,recall,f1-score,support
Healthy,0.9166666666666666,0.676923076923077,0.7787610619469026,65.0
Iron deficiency anemia,0.868421052631579,0.8918918918918919,0.88,37.0
Leukemia,0.5833333333333334,0.7777777777777778,0.6666666666666666,9.0
Leukemia with thrombocytopenia,1.0,1.0,1.0,2.0
Macrocytic anemia,0.25,0.3333333333333333,0.2857142857142857,3.0
Normocytic hypochromic anemia,0.6590909090909091,0.5370370370370371,0.5918367346938775,54.0
Normocytic normochromic anemia,0.59375,0.7450980392156863,0.6608695652173913,51.0
Other microcytic anemia,0.45454545454545453,0.45454545454545453,0.45454545454545453,11.0
Thrombocytopenia,0.5,0.8,0.6153846153846154,15.0
accuracy,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923
macro avg,0.6473119351408826,0.690734067858251,0.6593087093521325,247.0
weighted avg,0.7210002889538901,0.6923076923076923,0.6960765692875186,247.0
