,precision,recall,f1-score,support
Healthy,0.967741935483871,0.9230769230769231,0.9448818897637795,65.0
Iron deficiency anemia,0.8205128205128205,0.8648648648648649,0.8421052631578947,37.0
Leukemia,0.625,0.5555555555555556,0.5882352941176471,9.0
Leukemia with thrombocytopenia,1.0,1.0,1.0,2.0
Macrocytic anemia,0.14285714285714285,0.3333333333333333,0.2,3.0
Normocytic hypochromic anemia,0.7407407407407407,0.7407407407407407,0.7407407407407407,54.0
Normocytic normochromic anemia,0.8478260869565217,0.7647058823529411,0.8041237113402062,51.0
Other microcytic anemia,0.5833333333333334,0.6363636363636364,0.6086956521739131,11.0
Thrombocytopenia,0.7647058823529411,0.8666666666666667,0.8125,15.0
accuracy,0.805668016194332,0.805668016194332,0.805668016194332,0.805668016194332
macro avg,0.7214131046930412,0.7428119558838513,0.72680917236602,247.0
weighted avg,0.8196038742135254,0.805668016194332,0.8111854116227132,247.0
