,precision,recall,f1-score,support
Healthy,0.9523809523809523,0.9230769230769231,0.9375,65.0
Iron deficiency anemia,0.9473684210526315,0.972972972972973,0.96,37.0
Leukemia,1.0,0.7777777777777778,0.875,9.0
Leukemia with thrombocytopenia,0.0,0.0,0.0,2.0
Macrocytic anemia,0.25,0.3333333333333333,0.2857142857142857,3.0
Normocytic hypochromic anemia,0.8723404255319149,0.7592592592592593,0.8118811881188119,54.0
Normocytic normochromic anemia,0.9074074074074074,0.9607843137254902,0.9333333333333333,51.0
Other microcytic anemia,0.5333333333333333,0.7272727272727273,0.6153846153846154,11.0
Thrombocytopenia,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
accuracy,0.8744939271255061,0.8744939271255061,0.8744939271255061,0.8744939271255061
macro avg,0.6934009241648907,0.7097567378613131,0.6963664745595439,247.0
weighted avg,0.881072419326088,0.8744939271255061,0.8750110547047052,247.0
