,precision,recall,f1-score,support
Healthy,0.9491525423728814,0.8615384615384616,0.9032258064516129,65.0
Iron deficiency anemia,0.85,0.918918918918919,0.8831168831168831,37.0
Leukemia,0.875,0.7777777777777778,0.8235294117647058,9.0
Leukemia with thrombocytopenia,1.0,0.5,0.6666666666666666,2.0
Macrocytic anemia,0.25,0.3333333333333333,0.2857142857142857,3.0
Normocytic hypochromic anemia,0.8085106382978723,0.7037037037037037,0.7524752475247525,54.0
Normocytic normochromic anemia,0.9166666666666666,0.8627450980392157,0.8888888888888888,51.0
Other microcytic anemia,0.5,0.6363636363636364,0.56,11.0
Thrombocytopenia,0.5384615384615384,0.9333333333333333,0.6829268292682927,15.0
accuracy,0.8178137651821862,0.8178137651821862,0.8178137651821862,0.8178137651821862
macro avg,0.7430879317554397,0.725301584778709,0.7162826688217876,247.0
weighted avg,0.8411190801588885,0.8178137651821862,0.8233123163147061,247.0
