,precision,recall,f1-score,support
Healthy,1.0,0.9846153846153847,0.9922480620155039,65.0
Iron deficiency anemia,0.9487179487179487,1.0,0.9736842105263158,37.0
Leukemia,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Leukemia with thrombocytopenia,1.0,0.5,0.6666666666666666,2.0
Macrocytic anemia,0.25,0.3333333333333333,0.2857142857142857,3.0
Normocytic hypochromic anemia,0.9464285714285714,0.9814814814814815,0.9636363636363636,54.0
Normocytic normochromic anemia,0.9803921568627451,0.9803921568627451,0.9803921568627451,51.0
Other microcytic anemia,1.0,0.8181818181818182,0.9,11.0
Thrombocytopenia,1.0,0.9333333333333333,0.9655172413793104,15.0
accuracy,0.9595141700404858,0.9595141700404858,0.9595141700404858,0.9595141700404858
macro avg,0.8904919517664615,0.8244695996329985,0.84630531952112,247.0
weighted avg,0.9633996233186517,0.9595141700404858,0.9600487379271697,247.0
