,precision,recall,f1-score,support
Healthy,0.9333333333333333,0.8615384615384616,0.896,65.0
Iron deficiency anemia,0.9459459459459459,0.9459459459459459,0.9459459459459459,37.0
Leukemia,0.8571428571428571,0.6666666666666666,0.75,9.0
Leukemia with thrombocytopenia,1.0,0.5,0.6666666666666666,2.0
Macrocytic anemia,0.4,0.6666666666666666,0.5,3.0
Normocytic hypochromic anemia,0.86,0.7962962962962963,0.8269230769230769,54.0
Normocytic normochromic anemia,0.94,0.9215686274509803,0.9306930693069307,51.0
Other microcytic anemia,0.5294117647058824,0.8181818181818182,0.6428571428571429,11.0
Thrombocytopenia,0.7,0.9333333333333333,0.8,15.0
accuracy,0.8623481781376519,0.8623481781376519,0.8623481781376519,0.8623481781376519
macro avg,0.7962037667920021,0.7900219795644632,0.7732317668555292,247.0
weighted avg,0.8796942582701097,0.8623481781376519,0.8664532574625973,247.0
