,precision,recall,f1-score,support
Healthy,0.9354838709677419,0.8923076923076924,0.9133858267716536,65.0
Iron deficiency anemia,0.9230769230769231,0.972972972972973,0.9473684210526315,37.0
Leukemia,1.0,0.6666666666666666,0.8,9.0
Leukemia with thrombocytopenia,0.0,0.0,0.0,2.0
Macrocytic anemia,0.2,0.3333333333333333,0.25,3.0
Normocytic hypochromic anemia,0.8478260869565217,0.7222222222222222,0.78,54.0
Normocytic normochromic anemia,0.8909090909090909,0.9607843137254902,0.9245283018867925,51.0
Other microcytic anemia,0.5333333333333333,0.7272727272727273,0.6153846153846154,11.0
Thrombocytopenia,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
accuracy,0.854251012145749,0.854251012145749,0.854251012145749,0.854251012145749
macro avg,0.6787118981134876,0.6898770290927154,0.6754613348422824,247.0
weighted avg,0.863613779077322,0.854251012145749,0.8548184502503431,247.0
