,precision,recall,f1-score,support
Healthy,0.953125,0.9384615384615385,0.9457364341085271,65.0
Iron deficiency anemia,0.9459459459459459,0.9459459459459459,0.9459459459459459,37.0
Leukemia,1.0,0.6666666666666666,0.8,9.0
Leukemia with thrombocytopenia,0.0,0.0,0.0,2.0
Macrocytic anemia,0.25,0.3333333333333333,0.2857142857142857,3.0
Normocytic hypochromic anemia,0.84,0.7777777777777778,0.8076923076923077,54.0
Normocytic normochromic anemia,0.9423076923076923,0.9607843137254902,0.9514563106796117,51.0
Other microcytic anemia,0.5,0.8181818181818182,0.6206896551724138,11.0
Thrombocytopenia,0.75,0.8,0.7741935483870968,15.0
accuracy,0.8704453441295547,0.8704453441295547,0.8704453441295547,0.8704453441295547
macro avg,0.6868198486948488,0.6934612660102855,0.6812698319666877,247.0
weighted avg,0.8780195032700093,0.8704453441295547,0.8708913237528135,247.0
