,precision,recall,f1-score,support
Healthy,1.0,0.9846153846153847,0.9922480620155039,65.0
Iron deficiency anemia,0.972972972972973,0.972972972972973,0.972972972972973,37.0
Leukemia,0.7272727272727273,0.8888888888888888,0.8,9.0
Leukemia with thrombocytopenia,1.0,0.5,0.6666666666666666,2.0
Macrocytic anemia,0.6,1.0,0.75,3.0
Normocytic hypochromic anemia,0.9285714285714286,0.9629629629629629,0.9454545454545454,54.0
Normocytic normochromic anemia,0.9791666666666666,0.9215686274509803,0.9494949494949495,51.0
Other microcytic anemia,0.9,0.8181818181818182,0.8571428571428571,11.0
Thrombocytopenia,1.0,1.0,1.0,15.0
accuracy,0.951417004048583,0.951417004048583,0.951417004048583,0.951417004048583
macro avg,0.9008870883870883,0.8943545172303343,0.8815533393052772,247.0
weighted avg,0.9567846627057154,0.951417004048583,0.9521733468489895,247.0
