,precision,recall,f1-score,support
Healthy,1.0,0.9846153846153847,0.9922480620155039,65.0
Iron deficiency anemia,1.0,0.972972972972973,0.9863013698630136,37.0
Leukemia,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Leukemia with thrombocytopenia,1.0,0.5,0.6666666666666666,2.0
Macrocytic anemia,0.25,0.3333333333333333,0.2857142857142857,3.0
Normocytic hypochromic anemia,0.9642857142857143,1.0,0.9818181818181818,54.0
Normocytic normochromic anemia,1.0,1.0,1.0,51.0
Other microcytic anemia,0.9166666666666666,1.0,0.9565217391304348,11.0
Thrombocytopenia,1.0,0.9333333333333333,0.9655172413793104,15.0
accuracy,0.97165991902834,0.97165991902834,0.97165991902834,0.97165991902834
macro avg,0.8910934744268076,0.8459048792382126,0.8581862706084763,247.0
weighted avg,0.9753229226913437,0.97165991902834,0.9724794756102092,247.0
