,precision,recall,f1-score,support
Healthy,1.0,0.9846153846153847,0.9922480620155039,65.0
Iron deficiency anemia,0.972972972972973,0.972972972972973,0.972972972972973,37.0
Leukemia,1.0,0.8888888888888888,0.9411764705882353,9.0
Leukemia with thrombocytopenia,1.0,1.0,1.0,2.0
Macrocytic anemia,0.4,0.6666666666666666,0.5,3.0
Normocytic hypochromic anemia,0.9814814814814815,0.9814814814814815,0.9814814814814815,54.0
Normocytic normochromic anemia,1.0,1.0,1.0,51.0
Other microcytic anemia,0.9166666666666666,1.0,0.9565217391304348,11.0
Thrombocytopenia,1.0,0.9333333333333333,0.9655172413793104,15.0
accuracy,0.9757085020242915,0.9757085020242915,0.9757085020242915,0.9757085020242915
macro avg,0.9190134579023468,0.9364398586620809,0.9233242186186599,247.0
weighted avg,0.9809041835357625,0.9757085020242915,0.9776162348883656,247.0
