bin,lower,upper,n,accuracy,confidence,gap,cenario_calibracao
1,0.0,0.1,0,,,,isotonica
2,0.1,0.2,0,,,,isotonica
3,0.2,0.30000000000000004,0,,,,isotonica
4,0.30000000000000004,0.4,1,1.0,0.3333333333333333,0.6666666666666667,isotonica
5,0.4,0.5,2,1.0,0.45017793409833406,0.5498220659016659,isotonica
6,0.5,0.6000000000000001,3,0.6666666666666666,0.5831199928865156,0.08354667378015102,isotonica
7,0.6000000000000001,0.7000000000000001,2,1.0,0.6677112773165388,0.3322887226834612,isotonica
8,0.7000000000000001,0.8,5,0.6,0.7413122152138794,0.14131221521387938,isotonica
9,0.8,0.9,13,0.9230769230769231,0.8581306173282293,0.06494630574869387,isotonica
10,0.9,1.0,221,0.9909502262443439,0.99537082119957,0.004420594955226065,isotonica
