bin,lower,upper,n,accuracy,confidence,gap,cenario_calibracao
1,0.0,0.1,0,,,,sem_calibracao
2,0.1,0.2,0,,,,sem_calibracao
3,0.2,0.30000000000000004,0,,,,sem_calibracao
4,0.30000000000000004,0.4,0,,,,sem_calibracao
5,0.4,0.5,0,,,,sem_calibracao
6,0.5,0.6000000000000001,0,,,,sem_calibracao
7,0.6000000000000001,0.7000000000000001,3,1.0,0.6415848135948181,0.3584151864051819,sem_calibracao
8,0.7000000000000001,0.8,6,0.5,0.7563698093096415,0.2563698093096415,sem_calibracao
9,0.8,0.9,4,0.75,0.8581166416406631,0.10811664164066315,sem_calibracao
10,0.9,1.0,234,0.9957264957264957,0.9935463829937144,0.002180112732781292,sem_calibracao
