bin,lower,upper,n,accuracy,confidence,gap,cenario_calibracao
1,0.0,0.1,0,,,,sigmoid
2,0.1,0.2,0,,,,sigmoid
3,0.2,0.30000000000000004,0,,,,sigmoid
4,0.30000000000000004,0.4,0,,,,sigmoid
5,0.4,0.5,0,,,,sigmoid
6,0.5,0.6000000000000001,0,,,,sigmoid
7,0.6000000000000001,0.7000000000000001,5,0.8,0.6520397245145831,0.1479602754854169,sigmoid
8,0.7000000000000001,0.8,4,0.25,0.7412340398729542,0.4912340398729542,sigmoid
9,0.8,0.9,6,0.6666666666666666,0.8610516358376893,0.19438496917102266,sigmoid
10,0.9,1.0,232,0.9956896551724138,0.9533478878548739,0.04234176731753991,sigmoid
