classe_codificada,classe_original,feature,mean_abs_shap,tipo
0,Healthy,HGB,2.6265075,original
0,Healthy,PLT,0.89020765,original
0,Healthy,WBC_RBC_ratio,0.519385,derivado
0,Healthy,WBC,0.44379961,original
0,Healthy,PLT_WBC_ratio,0.32601178,derivado
0,Healthy,RBC,0.22582714,original
0,Healthy,PLT_RBC_ratio,0.16521189,derivado
0,Healthy,MCH,0.14557843,original
0,Healthy,HCT,0.07455873,original
0,Healthy,MCHC,0.05498409,original
0,Healthy,MCV,0.042818524,original
0,Healthy,HGB_RBC_ratio,0.03563054,derivado
0,Healthy,LYMp,0.022256456,original
0,Healthy,HCT_RBC_ratio,0.019417264,derivado
0,Healthy,PLR,0.015877659,derivado
0,Healthy,PCT,0.014052269,original
0,Healthy,LYMn,0.0133376885,original
0,Healthy,Mentzer_Index,0.010310373,derivado
0,Healthy,NLR,0.0019003514,derivado
0,Healthy,NEUTn,0.0015853979,original
0,Healthy,PDW,0.0013376189,original
0,Healthy,NEUTp,0.00062222173,original
1,Iron deficiency anemia,MCH,2.0469787,original
1,Iron deficiency anemia,MCV,1.3393146,original
1,Iron deficiency anemia,MCHC,0.7997846,original
1,Iron deficiency anemia,HGB_RBC_ratio,0.300818,derivado
1,Iron deficiency anemia,HGB,0.28041947,original
1,Iron deficiency anemia,HCT,0.2533847,original
1,Iron deficiency anemia,HCT_RBC_ratio,0.18746208,derivado
1,Iron deficiency anemia,RBC,0.052660692,original
1,Iron deficiency anemia,WBC_RBC_ratio,0.043291617,derivado
1,Iron deficiency anemia,PLT_WBC_ratio,0.026537454,derivado
1,Iron deficiency anemia,Mentzer_Index,0.020084023,derivado
1,Iron deficiency anemia,LYMn,0.014783739,original
1,Iron deficiency anemia,PLR,0.009274997,derivado
1,Iron deficiency anemia,LYMp,0.008405525,original
1,Iron deficiency anemia,PLT_RBC_ratio,0.008158686,derivado
1,Iron deficiency anemia,NEUTp,0.007906999,original
1,Iron deficiency anemia,PLT,0.0064338013,original
1,Iron deficiency anemia,WBC,0.0039459085,original
1,Iron deficiency anemia,PCT,0.00360407,original
1,Iron deficiency anemia,NLR,0.0016067959,derivado
1,Iron deficiency anemia,PDW,0.0006476961,original
1,Iron deficiency anemia,NEUTn,0.00026710122,original
2,Leukemia,WBC,2.4668372,original
