feature,xgb_feature_importance,tipo
NEUTn,0.24464935,original
PLR,0.09127422,derivado
PLT_WBC_ratio,0.07540327,derivado
PLT_RBC_ratio,0.0620755,derivado
MCH,0.061697822,original
WBC,0.057865318,original
MCV,0.054728944,original
PLT,0.05356362,original
HGB,0.048264634,original
WBC_RBC_ratio,0.041596625,derivado
PCT,0.036874525,original
HGB_RBC_ratio,0.033758756,derivado
Mentzer_Index,0.032416854,derivado
HCT_RBC_ratio,0.027990453,derivado
MCHC,0.026436524,original
RBC,0.016694145,original
LYMn,0.015208406,original
HCT,0.006754584,original
LYMp,0.004018506,original
NLR,0.003637068,derivado
PDW,0.0027312806,original
NEUTp,0.002359574,original
